
680369757.514,44400.649971226851851851851852,Recv,,/0x30/0x78/0x30/0x36/0x20/0x30/0x78/0x30/0x30/0xA,Error - Message did not match any known type
680369757.546,44400.649971597222222222222222,Sent,/0x15/0x6,,Sent Link Nak
680370476.654,44400.658294606481481481481482,Recv,,/0x6/0x0,Received unexpected link ack or nak
680370483.154,44400.658369837962962962962963,Recv,,/0x6/0x0,Received unexpected link ack or nak
680372164.997,44400.677835613425925925925926,Recv,,/0x6/0x0,Received unexpected link ack or nak
680372175.872,44400.677961481481481481481482,Recv,,/0x6/0x0,Received unexpected link ack or nak
680372180.769,44400.678018159722222222222222,Sent,/0x8/0x2/0x0/0x2/0x1/0x1/0x4/0x43,,Sent Device Info Query
680372180.981,44400.678020613425925925925926,Recv,,,Error - timed out waiting for Link Ack/Nak-1
680372191.132,44400.678138101851851851851852,Sent,/0x8/0x2/0x0/0x2/0x1/0x1/0x4/0x43,,Sent Device Info Query
680372191.348,44400.678140601851851851851852,Recv,,,Error - timed out waiting for Link Ack/Nak-1
680372233.723,44400.678631053240740740740741,Recv,,/0x15/0x0,Received unexpected link ack or nak
680372563.354,44400.682446226851851851851852,Recv,,/0x15/0x0,Received unexpected link ack or nak
680372585.888,44400.682707037037037037037037,Recv,,/0x15/0x0,Received unexpected link ack or nak
680372594.559,44400.682807395833333333333333,Recv,,/0x15/0x0,Received unexpected link ack or nak
680372719.267,44400.684250775462962962962963,Recv,,/0x15/0x0,Received unexpected link ack or nak
680372721.991,44400.684282303240740740740741,Sent,/0x8/0x2/0x0/0x2/0x1/0x1/0x4/0x43,,Sent Device Info Query
680372722.200,44400.684284722222222222222222,Recv,,,Error - timed out waiting for Link Ack/Nak-1
680372770.860,44400.684847916666666666666667,Recv,,/0x15/0x0,Received unexpected link ack or nak
680372772.845,44400.684870891203703703703704,Sent,/0x8/0x2/0x0/0x2/0x1/0x1/0x4/0x43,,Sent Device Info Query
680372773.064,44400.684873425925925925925926,Recv,,,Error - timed out waiting for Link Ack/Nak-1
