
664898499.589,44221.584485983796296296296296,Recv,/0x8/0x3/0x0/0x2/0x18/0x0/0xBA/0x75,,Query Max Payload Size received
664898499.635,44221.584486516203703703703704,Sent,,/0x6/0x0,Sent Link Ack
664898499.743,44221.584487766203703703703704,Sent,,/0x8/0x3/0x0/0x2/0x19/0xD/0x9D/0x84,Sent Max Payload
664898499.792,44221.584488333333333333333333,Recv,/0x6/0x0,,Link Ack Received
664898499.886,44221.584489421296296296296296,Recv,/0x8/0x2/0x0/0x0/0x7A/0xD0,,Received message type supported query
664898499.932,44221.584489953703703703703704,Sent,,/0x6/0x0,Sent Link Ack
664898500.040,44221.584491203703703703703704,Recv,/0x8/0x2/0x0/0x2/0x1/0x1/0x4/0x43,,Received a Device Info Request
664898500.088,44221.584491759259259259259259,Sent,,/0x6/0x0,Sent Link Ack
664898500.199,44221.584493043981481481481482,Sent,,/0x8/0x2/0x0/0x35/0x1/0x81/0x0/0x30/0x0/0x44/0x55/0x0/0x0/0x55/0x66/0x20/0x21/0x22/0x23/0x0/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x1/0x1/0x1/0x0/0x0/0xF7/0x86,Sent Device Info
664898500.277,44221.584493946759259259259259,Recv,/0x6/0x0,,Link Ack Received
664898529.974,44221.584837662037037037037037,Recv,/0x8/0x3/0x0/0x0/0x76/0xD3,,Received message type supported query
664898530.020,44221.584838194444444444444444,Sent,,/0x6/0x0,Sent Link Ack
664898530.130,44221.584839467592592592592593,Recv,/0x8/0x3/0x0/0x2/0x18/0x0/0xBA/0x75,,Query Max Payload Size received
664898530.177,44221.584840011574074074074074,Sent,,/0x6/0x0,Sent Link Ack
664898530.286,44221.584841273148148148148148,Sent,,/0x8/0x3/0x0/0x2/0x19/0xD/0x9D/0x84,Sent Max Payload
664898530.337,44221.584841863425925925925926,Recv,/0x6/0x0,,Link Ack Received
664898530.434,44221.584842986111111111111111,Recv,/0x8/0x2/0x0/0x0/0x7A/0xD0,,Received message type supported query
664898530.475,44221.584843460648148148148148,Sent,,/0x6/0x0,Sent Link Ack
664898530.582,44221.584844699074074074074074,Recv,/0x8/0x2/0x0/0x2/0x1/0x1/0x4/0x43,,Received a Device Info Request
664898530.629,44221.584845243055555555555556,Sent,,/0x6/0x0,Sent Link Ack
664898530.740,44221.584846527777777777777778,Sent,,/0x8/0x2/0x0/0x35/0x1/0x81/0x0/0x30/0x0/0x44/0x55/0x0/0x0/0x55/0x66/0x20/0x21/0x22/0x23/0x0/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x1/0x1/0x1/0x0/0x0/0xF7/0x86,Sent Device Info
664898530.788,44221.584847083333333333333333,Recv,/0x6/0x0,,Link Ack Received
664898547.593,44221.585041585648148148148148,Recv,/0x8/0x3/0x0/0x0/0x76/0xD3,,Received message type supported query
664898547.639,44221.585042118055555555555556,Sent,,/0x6/0x0,Sent Link Ack
664898547.748,44221.585043379629629629629630,Recv,/0x8/0x3/0x0/0x2/0x18/0x0/0xBA/0x75,,Query Max Payload Size received
664898547.794,44221.585043912037037037037037,Sent,,/0x6/0x0,Sent Link Ack
664898547.903,44221.585045173611111111111111,Sent,,/0x8/0x3/0x0/0x2/0x19/0xD/0x9D/0x84,Sent Max Payload
664898547.949,44221.585045706018518518518518,Recv,/0x6/0x0,,Link Ack Received
664898548.059,44221.585046979166666666666667,Recv,/0x8/0x2/0x0/0x0/0x7A/0xD0,,Received message type supported query
664898548.105,44221.585047511574074074074074,Sent,,/0x6/0x0,Sent Link Ack
664898548.217,44221.585048807870370370370370,Recv,/0x8/0x2/0x0/0x2/0x1/0x1/0x4/0x43,,Received a Device Info Request
664898548.262,44221.585049328703703703703704,Sent,,/0x6/0x0,Sent Link Ack
664898548.374,44221.585050625,Sent,,/0x8/0x2/0x0/0x35/0x1/0x81/0x0/0x30/0x0/0x44/0x55/0x0/0x0/0x55/0x66/0x20/0x21/0x22/0x23/0x0/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x1/0x1/0x1/0x0/0x0/0xF7/0x86,Sent Device Info
664898548.432,44221.585051296296296296296296,Recv,/0x6/0x0,,Link Ack Received
664899016.111,44221.590464247685185185185185,Recv,/0x8/0x3/0x0/0x0/0x76/0xD3,,Received message type supported query
664899016.158,44221.590464791666666666666667,Sent,,/0x6/0x0,Sent Link Ack
664899016.259,44221.590465960648148148148148,Recv,/0x8/0x3/0x0/0x2/0x18/0x0/0xBA/0x75,,Query Max Payload Size received
664899016.299,44221.590466423611111111111111,Sent,,/0x6/0x0,Sent Link Ack
664899016.408,44221.590467685185185185185185,Sent,,/0x8/0x3/0x0/0x2/0x19/0xD/0x9D/0x84,Sent Max Payload
664899016.462,44221.590468310185185185185185,Recv,/0x6/0x0,,Link Ack Received
664899016.564,44221.590469490740740740740741,Recv,/0x8/0x2/0x0/0x0/0x7A/0xD0,,Received message type supported query
664899016.611,44221.590470034722222222222222,Sent,,/0x6/0x0,Sent Link Ack
664899016.720,44221.590471296296296296296296,Recv,/0x8/0x2/0x0/0x2/0x1/0x1/0x4/0x43,,Received a Device Info Request
664899016.766,44221.590471828703703703703704,Sent,,/0x6/0x0,Sent Link Ack
664899016.879,44221.590473136574074074074074,Sent,,/0x8/0x2/0x0/0x35/0x1/0x81/0x0/0x30/0x0/0x44/0x55/0x0/0x0/0x55/0x66/0x20/0x21/0x22/0x23/0x0/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x1/0x1/0x1/0x0/0x0/0xF7/0x86,Sent Device Info
664899016.932,44221.59047375,Recv,/0x6/0x0,,Link Ack Received
664899226.054,44221.592894143518518518518518,Recv,/0x8/0x3/0x0/0x0/0x76/0xD3,,Received message type supported query
664899226.098,44221.592894652777777777777778,Sent,,/0x6/0x0,Sent Link Ack
664899226.224,44221.592896111111111111111111,Recv,/0x8/0x3/0x0/0x2/0x18/0x0/0xBA/0x75,,Query Max Payload Size received
664899226.267,44221.592896608796296296296296,Sent,,/0x6/0x0,Sent Link Ack
664899226.376,44221.592897870370370370370370,Sent,,/0x8/0x3/0x0/0x2/0x19/0xD/0x9D/0x84,Sent Max Payload
664899226.421,44221.592898391203703703703704,Recv,/0x6/0x0,,Link Ack Received
664899226.528,44221.592899629629629629629630,Recv,/0x8/0x2/0x0/0x0/0x7A/0xD0,,Received message type supported query
664899226.564,44221.592900046296296296296296,Sent,,/0x6/0x0,Sent Link Ack
664899226.672,44221.592901296296296296296296,Recv,/0x8/0x2/0x0/0x2/0x1/0x1/0x4/0x43,,Received a Device Info Request
664899226.720,44221.592901851851851851851852,Sent,,/0x6/0x0,Sent Link Ack
664899226.831,44221.592903136574074074074074,Sent,,/0x8/0x2/0x0/0x35/0x1/0x81/0x0/0x30/0x0/0x44/0x55/0x0/0x0/0x55/0x66/0x20/0x21/0x22/0x23/0x0/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x30/0x1/0x1/0x1/0x0/0x0/0xF7/0x86,Sent Device Info
664899226.876,44221.592903657407407407407407,Recv,/0x6/0x0,,Link Ack Received
664899282.126,44221.593543125,Recv,/0x8/0x3/0x0/0x0/0x76/0xD3,,Received message type supported query
664899282.175,44221.593543692129629629629630,Sent,,/0x6/0x0,Sent Link Ack
664899282.279,44221.593544895833333333333333,Recv,/0x8/0x3/0x0/0x2/0x18/0x0/0xBA/0x75,,Query Max Payload Size received
664899282.325,44221.593545428240740740740741,Sent,,/0x6/0x0,Sent Link Ack
664899282.433,44221.593546678240740740740741,Sent,,/0x8/0x3/0x0/0x2/0x19/0xD/0x9D/0x84,Sent Max Payload
664899282.480,44221.593547222222222222222222,Recv,/0x6/0x0,,Link Ack Received
664899282.576,44221.593548333333333333333333,Recv,/0x8/0x2/0x0/0x0/0x7A/0xD0,,Received message type supported query
664899282.621,44221.593548854166666666666667,Sent,,/0x6/0x0,Sent Link Ack
664899282.732,44221.593550138888888888888889,Recv,/0x8/0x2/0x0/0x2/0x1/0x1/0x4/0x43,,Received a Device Info Request
664899282.776,44221.593550648148148148148148,Sent,,/0x6/0x0,Sent Link Ack
